Participant_ID,Expertise,Task,Version,Time_Taken,Likert,Likert_Rating
1,Beginner,1,A,388.2026173,Likert_1,5
1,Beginner,2,A,388.2026173,Likert_2,4
1,Beginner,3,A,388.2026173,Likert_3,2
1,Beginner,4,A,388.2026173,Likert_4,5
1,Beginner,5,A,388.2026173,Likert_5,4
1,Beginner,1,B,320.0078604,Likert_1,3
1,Beginner,2,B,320.0078604,Likert_2,3
1,Beginner,3,B,320.0078604,Likert_3,1
1,Beginner,4,B,320.0078604,Likert_4,3
1,Beginner,5,B,320.0078604,Likert_5,4
2,Beginner,1,A,348.9368992,Likert_1,3
2,Beginner,2,A,348.9368992,Likert_2,4
2,Beginner,3,A,348.9368992,Likert_3,1
2,Beginner,4,A,348.9368992,Likert_4,4
2,Beginner,5,A,348.9368992,Likert_5,5
2,Beginner,1,B,412.04466,Likert_1,3
2,Beginner,2,B,412.04466,Likert_2,3
2,Beginner,3,B,412.04466,Likert_3,3
2,Beginner,4,B,412.04466,Likert_4,4
2,Beginner,5,B,412.04466,Likert_5,3
3,Advanced,1,A,393.3778995,Likert_1,4
3,Advanced,2,A,393.3778995,Likert_2,3
3,Advanced,3,A,393.3778995,Likert_3,3
3,Advanced,4,A,393.3778995,Likert_4,3
3,Advanced,5,A,393.3778995,Likert_5,4
3,Advanced,1,B,251.136106,Likert_1,4
3,Advanced,2,B,251.136106,Likert_2,3
3,Advanced,3,B,251.136106,Likert_3,5
3,Advanced,4,B,251.136106,Likert_4,3
3,Advanced,5,B,251.136106,Likert_5,3
4,Beginner,1,A,347.5044209,Likert_1,5
4,Beginner,2,A,347.5044209,Likert_2,3
4,Beginner,3,A,347.5044209,Likert_3,2
4,Beginner,4,A,347.5044209,Likert_4,3
4,Beginner,5,A,347.5044209,Likert_5,4
4,Beginner,1,B,292.4321396,Likert_1,3
4,Beginner,2,B,292.4321396,Likert_2,2
4,Beginner,3,B,292.4321396,Likert_3,2
4,Beginner,4,B,292.4321396,Likert_4,4
4,Beginner,5,B,292.4321396,Likert_5,3
5,Beginner,1,A,294.8390574,Likert_1,5
5,Beginner,2,A,294.8390574,Likert_2,3
5,Beginner,3,A,294.8390574,Likert_3,3
5,Beginner,4,A,294.8390574,Likert_4,2
5,Beginner,5,A,294.8390574,Likert_5,2
5,Beginner,1,B,320.5299251,Likert_1,3
5,Beginner,2,B,320.5299251,Likert_2,2
5,Beginner,3,B,320.5299251,Likert_3,3
5,Beginner,4,B,320.5299251,Likert_4,2
5,Beginner,5,B,320.5299251,Likert_5,3
6,Intermediate,1,A,307.2021786,Likert_1,2
6,Intermediate,2,A,307.2021786,Likert_2,3
6,Intermediate,3,A,307.2021786,Likert_3,2
6,Intermediate,4,A,307.2021786,Likert_4,3
6,Intermediate,5,A,307.2021786,Likert_5,4
6,Intermediate,1,B,372.7136753,Likert_1,2
6,Intermediate,2,B,372.7136753,Likert_2,3
6,Intermediate,3,B,372.7136753,Likert_3,2
6,Intermediate,4,B,372.7136753,Likert_4,3
6,Intermediate,5,B,372.7136753,Likert_5,4
7,Beginner,1,A,338.0518863,Likert_1,4
7,Beginner,2,A,338.0518863,Likert_2,4
7,Beginner,3,A,338.0518863,Likert_3,2
7,Beginner,4,A,338.0518863,Likert_4,3
